"ORIGIN","DEST","MONTH",
"06A","A43",1,
"06A","A43",1,
"1G4","BLD",1,
"1G4","GCN",1,
"1G4","BLD",1,
"1TX","FLL",1,
"7AK","DUT",1,
"7AK","CDB",1,
"7AK","KQA",1,
"7AK","AKB",1,
"7AK","KQA",1,
"7AK","KQA",1,
"7AK","DUT",1,
"A1K","SCC",1,
"A20","ANC",1,
"A20","SCC",1,
"A26","FAI",1,
"A27","FAI",1,
"A43","DGB",1,
"A43","06A",1,
"A43","KPY",1,
"A43","KKB",1,
"A43","KKB",1,
"A43","KOY",1,
"A43","A50",1,
"A43","AOS",1,
"A43","EHR",1,
"A43","A43",1,
"A43","KKB",1,
"A43","KOY",1,
"A43","KKB",1,
"A43","DGB",1,
"A50","A43",1,
"ABE","ORD",1,
"ABE","IND",1,
"ABE","MEM",1,
"ABE","PGD",1,
"ABE","SFB",1,
"ABE","BNA",1,
"ABE","PIE",1,
"ABE","FLL",1,
"ABE","SRQ",1,
"ABE","DTW",1,
"ABE","CLE",1,
"ABE","DTW",1,
"ABE","LAL",1,
"ABE","AFW",1,
"ABE","SMF",1,
"ABE","RFD",1,
"ABE","LAL",1,
"ABE","AFW",1,
"ABE","ORD",1,
"ABE","DTW",1,
"ABE","ATL",1,
"ABE","DTW",1,
"ABE","DTW",1,
"ABE","CLT",1,
"ABE","CLT",1,
"ABE","IAD",1,
"ABI","LBB",1,
"ABI","IAH",1,
"ABI","DFW",1,
"ABI","DFW",1,
"ABI","DFW",1,
"ABI","DFW",1,
"ABL","OTZ",1,
"ABL","SHG",1,
"ABL","OTZ",1,
"ABL","WLK",1,
"ABL","OBU",1,
"ABL","OTZ",1,
"ABL","OTZ",1,
"ABL","OTZ",1,
"ABL","RDB",1,
"ABL","RLU",1,
"ABL","ORV",1,
"ABQ","DEN",1,
"ABQ","LAS",1,
"ABQ","OAK",1,
"ABQ","BWI",1,
"ABQ","DAL",1,
"ABQ","HOU",1,
"ABQ","LAX",1,
"ABQ","PHX",1,
"ABQ","MDW",1,
"ABQ","SAT",1,
"ABQ","DEN",1,
"ABQ","LAS",1,
"ABQ","SAN",1,
"ABQ","DAL",1,
"ABQ","HOU",1,
"ABQ","PHX",1,
"ABQ","AUS",1,
"ABQ","MDW",1,
"ABQ","MCI",1,
"ABQ","CNM",1,
"ABQ","DRO",1,
"ABQ","ABQ",1,
"ABQ","FMN",1,
"ABQ","DEN",1,
"ABQ","DEN",1,
"ABQ","MEM",1,
"ABQ","DFW",1,
"ABQ","DRO",1,
"ABQ","FMN",1,
"ABQ","LBB",1,
"ABQ","MEM",1,
"ABQ","LAS",1,
"ABQ","AUS",1,
"ABQ","IAH",1,
"ABQ","DEN",1,
"ABQ","SLC",1,
"ABQ","LAX",1,
"ABQ","SFO",1,
"ABQ","IAH",1,
"ABQ","DEN",1,
"ABQ","SFO",1,
"ABQ","DFW",1,
"ABQ","PHX",1,
"ABQ","TUS",1,
"ABQ","ONT",1,
"ABQ","PHX",1,
"ABQ","ELP",1,
"ABQ","ONT",1,
"ABQ","PHX",1,
"ABQ","SDF",1,
"ABQ","ELP",1,
"ABQ","PHX",1,
"ABQ","BUF",1,
"ABQ","JFK",1,
"ABQ","SVC",1,
"ABQ","LRD",1,
"ABQ","IAH",1,
"ABQ","DFW",1,
"ABQ","ORD",1,
"ABQ","IAH",1,
"ABQ","DFW",1,
"ABQ","SEA",1,
"ABQ","SEA",1,
"ABQ","SEA",1,
"ABQ","IAH",1,
"ABQ","AMA",1,
"ABQ","PDX",1,
"ABQ","ATL",1,
"ABQ","IAH",1,
"ABQ","DFW",1,
"ABR","PIR",1,
"ABR","FSD",1,
"ABR","MSP",1,
"ABR","MSP",1,
"ABY","CAE",1,
"ABY","SDF",1,
"ABY","MCO",1,
"ABY","PBI",1,
"ABY","MSY",1,
"ABY","SDF",1,
"ABY","PNS",1,
"ABY","ATL",1,
"ACK","PVD",1,
"ACK","JFK",1,
"ACK","EWB",1,
"ACK","HYA",1,
"ACK","HPN",1,
"ACK","BOS",1,
"ACK","MVY",1,
